OVERALL INFORMATION

HOST_NAME                               |INSTANCE_NAME   |DATABASE_NAME |OPEN_MODE       |DATABASE_ROLE   |CREATED            |      DBID|VERSION    |BANNER
----------------------------------------|----------------|--------------|----------------|----------------|-------------------|----------|-----------|--------------------------------------------------------------------------------
hrvltstdb20.washdc.state.sbu            |UAT1            |UAT           |READ WRITE      |PRIMARY         |2022.12.19_07.50.47|3148351063|19.0.0.0.0 |Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production

PARAMETER                     |VALUE
------------------------------|--------------------
control_management_pack_access|DIAGNOSTIC+TUNING
enable_ddl_logging            |FALSE


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
MULTITENANT INFORMATION (Please ignore errors in pre 12.1 databases)
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

CON_ID|NAME                          |OPEN_MODE       |RESTRICTED|REMARKS
------|------------------------------|----------------|----------|-----------------------------------------------------------------------------
     0|UAT                           |READ WRITE      |NO        |

The multitenant architecture with one user-created pluggable database (single tenant) is available in all editions without the Multitenant Option.
If more than one PDB containers are created, then Multitenant Option licensing is needed
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
>>> Selecting from DBA_FEATURE_USAGE_STATISTICS


DBA_FEATURE_USAGE_STATISTICS (DBA_FUS) INFORMATION - MOST RECENT SAMPLE BASED ON LAST_SAMPLE_DATE

LAST_DBA_FUS_DBID|LAST_DBA_FUS_VERS|LAST_DBA_FUS_SAMPLE|SYSDATE            |REMARKS
-----------------|-----------------|-------------------|-------------------|-----------------
       3148351063|19.0.0.0.0       |2023.01.02_20.28.17|2023.01.06_12.01.37|


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
PRODUCT USAGE
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

PRODUCT                                            |USAGE                   |LAST_SAMPLE_DATE   |FIRST_USAGE_DATE   |LAST_USAGE_DATE
---------------------------------------------------|------------------------|-------------------|-------------------|-------------------
Active Data Guard                                  |NO_USAGE                |2023.01.02_20.28.17|                   |
Active Data Guard or Real Application Clusters     |NO_USAGE                |2023.01.02_20.28.17|                   |
Advanced Analytics                                 |NO_USAGE                |2023.01.02_20.28.17|                   |
Advanced Compression                               |PAST_OR_CURRENT_USAGE   |2023.01.02_20.28.17|2015.03.28_02.23.26|2023.01.02_20.28.17
Advanced Security                                  |CURRENT_USAGE           |2023.01.02_20.28.17|2016.01.08_19.54.54|2023.01.02_20.28.17
Database In-Memory                                 |NO_USAGE                |2023.01.02_20.28.17|                   |
Database Vault                                     |NO_USAGE                |2023.01.02_20.28.17|                   |
Diagnostics Pack                                   |PAST_USAGE              |2023.01.02_20.28.17|2012.02.05_19.16.00|2022.08.11_01.17.46
Label Security                                     |NO_USAGE                |2023.01.02_20.28.17|                   |
OLAP                                               |NO_USAGE                |2023.01.02_20.28.17|                   |
Partitioning                                       |NO_USAGE                |2023.01.02_20.28.17|                   |
RAC or RAC One Node                                |NO_USAGE                |2023.01.02_20.28.17|                   |
Real Application Clusters                          |CURRENT_USAGE           |2023.01.02_20.28.17|2012.01.22_10.23.29|2023.01.02_20.28.17
Real Application Clusters One Node                 |NO_USAGE                |2023.01.02_20.28.17|                   |
Real Application Testing                           |NO_USAGE                |2023.01.02_20.28.17|                   |
Spatial and Graph                                  |NO_USAGE                |2023.01.02_20.28.17|                   |
Tuning Pack                                        |CURRENT_USAGE           |2023.01.02_20.28.17|2012.05.13_20.38.42|2023.01.02_20.28.17
.Database Gateway                                  |CURRENT_USAGE           |2023.01.02_20.28.17|2021.11.04_01.55.02|2023.01.02_20.28.17
.Exadata                                           |NO_USAGE                |2023.01.02_20.28.17|                   |
.GoldenGate                                        |NO_USAGE                |2023.01.02_20.28.17|                   |
.HW                                                |NO_USAGE                |2023.01.02_20.28.17|                   |
.Pillar Storage                                    |NO_USAGE                |2023.01.02_20.28.17|                   |


++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
FEATURE USAGE DETAILS
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

PRODUCT                                            |FEATURE_BEING_USED                                      |USAGE                   |LAST_SAMPLE_DATE   |      DBID|VERSION    |DETECTED_USAGES|TOTAL_SAMPLES|CURRENTLY_USED|FIRST_USAGE_DATE   |LAST_USAGE_DATE    |EXTRA_FEATURE_INFO
Advanced Security                                  |Encrypted Tablespaces                                   |CURRENT_USAGE           |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
Advanced Security                                  |Encrypted Tablespaces                                   |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             60|           60|TRUE          |2021.10.28_01.31.30|2022.12.17_19.27.36|
Advanced Security                                  |Encrypted Tablespaces                                   |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |            298|          339|TRUE          |2016.01.08_19.54.54|2021.10.22_20.20.01|
Advanced Security                                  |Oracle Utility Datapump (Export)                        |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|encryption used: 0 times
Advanced Security                                  |Oracle Utility Datapump (Import)                        |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
Advanced Security                                  |SecureFile Encryption (user)                            |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Advanced Security                                  |Transparent Data Encryption                             |CURRENT_USAGE           |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
Advanced Security                                  |Transparent Data Encryption                             |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             60|           60|TRUE          |2021.10.28_01.31.30|2022.12.17_19.27.36|
Advanced Security                                  |Transparent Data Encryption                             |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |            298|          339|TRUE          |2016.01.08_19.54.54|2021.10.22_20.20.01|
Database In-Memory                                 |In-Memory ADO Policies                                  |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database In-Memory                                 |In-Memory Aggregation                                   |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database In-Memory                                 |In-Memory Column Store                                  |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database In-Memory                                 |In-Memory Distribute For Service (User Defined)         |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database In-Memory                                 |In-Memory Expressions                                   |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database In-Memory                                 |In-Memory FastStart                                     |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database In-Memory                                 |In-Memory Join Groups                                   |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database Vault                                     |Oracle Database Vault                                   |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Database Vault                                     |Privilege Capture                                       |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |ADDM                                                    |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |ADDM                                                    |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |              2|           60|FALSE         |2021.11.04_01.55.02|2022.03.02_21.40.15|
Diagnostics Pack                                   |ADDM                                                    |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |              9|          339|FALSE         |2019.04.19_20.15.41|2021.06.27_20.44.17|
Diagnostics Pack                                   |ADDM                                                    |PAST_USAGE              |2015.03.22_20.32.15|1836890876|11.2.0.3.0 |              6|          166|FALSE         |2012.03.18_20.46.01|2015.03.15_20.23.38|
Diagnostics Pack                                   |AWR Baseline                                            |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |AWR Baseline Template                                   |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |AWR Report                                              |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |AWR Report                                              |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |              1|           60|FALSE         |2021.11.04_01.55.02|2021.11.04_01.55.02|
Diagnostics Pack                                   |AWR Report                                              |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |             14|          339|FALSE         |2015.09.18_20.16.59|2021.06.27_20.44.17|
Diagnostics Pack                                   |AWR Report                                              |PAST_USAGE              |2015.03.22_20.32.15|1836890876|11.2.0.3.0 |             13|          166|FALSE         |2012.02.05_19.16.00|2014.04.06_20.25.01|
Diagnostics Pack                                   |Automatic Workload Repository                           |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |Automatic Workload Repository                           |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |              1|           60|FALSE         |2022.03.02_21.40.15|2022.03.02_21.40.15|
Diagnostics Pack                                   |Baseline Adaptive Thresholds                            |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |Baseline Static Computations                            |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |EM Performance Page                                     |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Diagnostics Pack                                   |EM Performance Page                                     |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |              4|           60|FALSE         |2021.11.04_01.55.02|2022.08.11_01.17.46|
Label Security                                     |Label Security                                          |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
OLAP                                               |OLAP - Analytic Workspaces                              |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
OLAP                                               |OLAP - Cubes                                            |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Partitioning                                       |Partitioning (user)                                     |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Partitioning                                       |Zone maps                                               |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
RAC or RAC One Node                                |Quality of Service Management                           |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Real Application Clusters                          |Real Application Clusters (RAC)                         |CURRENT_USAGE           |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
Real Application Clusters                          |Real Application Clusters (RAC)                         |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             60|           60|TRUE          |2021.10.28_01.31.30|2022.12.17_19.27.36|
Real Application Clusters                          |Real Application Clusters (RAC)                         |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |            339|          339|TRUE          |2015.03.28_02.23.26|2021.10.22_20.20.01|
Real Application Clusters                          |Real Application Clusters (RAC)                         |PAST_USAGE              |2015.03.22_20.32.15|1836890876|11.2.0.3.0 |            166|          166|TRUE          |2012.01.22_10.23.29|2015.03.22_20.32.15|
Real Application Clusters One Node                 |Real Application Cluster One Node                       |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Real Application Testing                           |Database Replay: Workload Capture                       |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Real Application Testing                           |Database Replay: Workload Replay                        |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Real Application Testing                           |SQL Performance Analyzer                                |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Spatial and Graph                                  |Spatial                                                 |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Tuning Pack                                        |SQL Access Advisor                                      |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Tuning Pack                                        |SQL Monitoring and Tuning pages                         |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Tuning Pack                                        |SQL Monitoring and Tuning pages                         |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |              5|           60|FALSE         |2021.10.28_01.31.30|2022.08.11_01.17.46|
Tuning Pack                                        |SQL Profile                                             |CURRENT_USAGE           |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
Tuning Pack                                        |SQL Profile                                             |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             60|           60|TRUE          |2021.10.28_01.31.30|2022.12.17_19.27.36|
Tuning Pack                                        |SQL Profile                                             |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |            339|          339|TRUE          |2015.03.28_02.23.26|2021.10.22_20.20.01|
Tuning Pack                                        |SQL Profile                                             |PAST_USAGE              |2015.03.22_20.32.15|1836890876|11.2.0.3.0 |             87|          166|TRUE          |2013.07.28_20.15.07|2015.03.22_20.32.15|
Tuning Pack                                        |SQL Tuning Advisor                                      |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
Tuning Pack                                        |SQL Tuning Advisor                                      |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |              2|           60|FALSE         |2021.11.04_01.55.02|2022.03.02_21.40.15|
Tuning Pack                                        |SQL Tuning Advisor                                      |PAST_USAGE              |2021.10.22_20.20.01|1836890876|11.2.0.4.0 |             14|          339|FALSE         |2017.09.01_21.11.08|2021.07.04_21.49.35|
Tuning Pack                                        |SQL Tuning Advisor                                      |PAST_USAGE              |2015.03.22_20.32.15|1836890876|11.2.0.3.0 |              5|          166|FALSE         |2012.05.13_20.38.42|2013.11.10_19.31.51|
.Database Gateway                                  |Gateways                                                |CURRENT_USAGE           |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
.Database Gateway                                  |Gateways                                                |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             59|           60|TRUE          |2021.11.04_01.55.02|2022.12.17_19.27.36|
.Database Gateway                                  |Transparent Gateway                                     |CURRENT_USAGE           |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              3|            3|TRUE          |2022.12.19_17.07.01|2023.01.02_20.28.17|
.Database Gateway                                  |Transparent Gateway                                     |PAST_USAGE              |2022.12.17_19.27.36|2150699902|19.0.0.0.0 |             59|           60|TRUE          |2021.11.04_01.55.02|2022.12.17_19.27.36|
.Exadata                                           |Cloud DB with EHCC                                      |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
.Exadata                                           |Exadata                                                 |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
.GoldenGate                                        |GoldenGate                                              |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
.HW                                                |Hybrid Columnar Compression                             |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
.HW                                                |Hybrid Columnar Compression Conventional Load           |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
.HW                                                |Hybrid Columnar Compression Row Level Locking           |NO_CURRENT_USAGE        |2023.01.02_20.28.17|3148351063|19.0.0.0.0 |              0|            3|FALSE         |                   |                   |
